name,industry,office,size,review_counts,salaries_count,jobs_count,interviews_count,benefits_count,website,company_type,revenue,head_quarter,founded,interview_possitive,interview_negative,interview_neutral,interview_difficulty,benefits_score,rating,total_insurance_health_wellness_benefits,health_insurance,dental_insurance,FSA,vision insurance,HSA,life_insurance,supplemental_life_insurance,disability_insurance,occupational_accident_insurance,health_care_on_site,mental_health_care,retiree_health_and_medical,accidental_death_and_dismemberment_insurance,total_financial_retirement_benefits,pension_plan,plan_401K,retirement_plan,employee_stock_purcase_plan,performance_bonus,stock_options,equity_incentive_plan,supplemental_workers_compensation,charity_gift_matching,total_family_parenting_benefits,maternity_paternity_leave,work_from_home,fertility_assistance,dependent_care,adoption_assistance,childcare,flexible_hour,military_leave,family_medical_leave,unpaid_extended_leave,total_vacation_time_off_benefits,vacation_paid_time_off,sick_days,paid_holidays,volunteer_time_off,sabbatical,bereavement_leave,total_perk_discounts_benefits,employee_discount,free_lunch_or_snacks,employee_assistance_program,gym_membership,commuter_checks_and_assistance,pet_friendly_worksplace,mobile_phone_discount,company_car,company_social_events,travel_concierge,legal_assistance,total_professional_support_benefits,diversity_program,job_training,professional_development,apprenticeship,tuition_assistance,category,state,company_rank
Google,Internet,35,3,19400.0,43800.0,1900.0,13000.0,4700.0,https://www.google.com/,Public,8,"Mountain View, CA",1998.0,0.61,0.15,0.23,3.3,4.7,4.5,13,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0,1,1,0,1,1,1,1,1,8,1,1,0,0,1,1,1,1,1,1,5,1,1,1,1,0,1,11,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,0,1,Information Technology, CA,2
Microsoft,Computer Hardware & Software,34,3,30300.0,68800.0,5700.0,10000.0,10000.0,https://www.microsoft.com/,Public,8,"Redmond, WA",1975.0,0.65,0.13,0.21,3.1,4.5,4.4,12,1,1,1,1,1,1,1,1,1,1,1,0,1,8,0,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,9,1,1,1,1,1,0,1,0,1,1,1,5,1,1,1,1,1,Information Technology, WA,2
Apple,Computer Hardware & Software,25,3,21600.0,63600.0,4200.0,8500.0,7100.0,https://www.apple.com/,Public,8,"Cupertino, CA",1976.0,0.65,0.15,0.2,3.0,4.5,4.3,12,1,1,1,1,1,1,1,1,1,0,1,1,1,7,0,1,1,1,0,1,1,1,1,9,1,1,1,1,1,1,0,1,1,1,6,1,1,1,1,1,1,9,1,1,1,1,1,0,1,0,1,1,1,4,1,1,1,0,1,Information Technology, CA,2
US Air Force,Federal Agencies,40,3,17100.0,19400.0,4800.0,1000.0,7600.0,https://www.af.mil/,Government,8,"Washington, DC",1947.0,0.7,0.05,0.24,2.2,4.5,4.2,11,1,1,0,1,0,1,1,1,1,1,1,1,1,4,1,1,1,0,0,0,0,1,0,9,1,0,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,10,1,1,1,1,1,0,1,1,1,1,1,5,1,1,1,1,1,Goverment, DC,2
Cisco Systems,Computer Hardware & Software,25,3,22400.0,42500.0,1900.0,4300.0,8000.0,https://www.cisco.com/,Private,8,"San Jose, CA",1984.0,0.69,0.11,0.19,3.0,4.2,4.2,13,1,1,1,1,1,1,1,1,1,1,1,1,1,8,0,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,0,1,9,1,1,1,1,1,0,1,0,1,1,1,5,1,1,1,1,1,Information Technology, CA,2
Capital One,Banks & Credit Unions,32,3,9600.0,20600.0,2000.0,5000.0,3700.0,https://www.capitalonecareers.com/,Public,8,"Mc Lean, VA",1994.0,0.65,0.15,0.2,3.1,4.4,4.2,13,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,0,1,1,1,1,5,1,1,1,1,0,1,6,1,0,1,1,1,0,1,0,1,0,0,4,1,1,1,0,1,Finance, VA,2
Qualcomm,Computer Hardware & Software,34,3,7000.0,83500.0,1800.0,2600.0,2500.0,https://www.qualcomm.com/,Public,8,"San Diego, CA",1985.0,0.64,0.13,0.23,3.1,4.0,4.1,12,1,1,1,1,1,1,1,1,1,1,1,0,1,7,0,1,1,1,1,1,1,0,1,6,1,0,0,0,1,0,1,1,1,1,4,1,1,1,0,0,1,6,1,0,1,1,1,0,1,0,1,0,0,4,1,1,1,0,1,Information Technology, CA,1
Intel Corporation,Computer Hardware & Software,32,3,18200.0,36200.0,411.0,4400.0,6200.0,https://www.intel.com/,Public,8,"Santa Clara, CA",1968.0,0.73,0.08,0.19,3.0,4.2,4.3,13,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,9,1,1,0,1,1,1,1,1,1,1,6,1,1,1,1,1,1,9,1,1,1,1,1,0,1,0,1,1,1,4,1,1,1,0,1,Information Technology, CA,2
Verizon,Telecommunications Services,23,3,23300.0,31200.0,1300.0,4400.0,10000.0,https://www.verizon.com/about/careers,Public,8,"New York, NY",2000.0,0.64,0.14,0.22,2.9,4.4,4.0,12,1,1,1,1,1,1,1,1,1,0,1,1,1,9,1,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,11,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,Telecommunications, NY,1
Bank of America,Banks & Credit Unions,25,3,26700.0,41700.0,1200.0,6400.0,9600.0,https://www.bankofamerica.com/,Public,8,"Charlotte, NC",1904.0,0.68,0.11,0.21,2.7,4.1,4.1,13,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,0,1,8,1,1,1,1,1,0,1,0,1,0,1,5,1,1,1,1,1,Finance, NC,1
Accenture,Consulting,37,3,77500.0,37900.0,1600.0,16000.0,20000.0,https://www.accenture.com/,Public,8,"Dublin, Ireland",1989.0,0.7,0.13,0.17,2.8,4.1,4.0,13,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,11,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,Business Services, Ireland,1
J.P. Morgan,Investment Banking & Asset Management,25,3,25400.0,38800.0,7500.0,8800.0,7200.0,https://www.jpmorgan.com/,Public,8,"New York, NY",1799.0,0.64,0.13,0.23,2.9,4.0,4.0,13,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,8,1,1,1,1,1,0,0,1,1,1,6,1,1,1,1,1,1,6,1,0,1,0,1,0,1,0,1,0,1,4,1,1,1,0,1,Finance, NY,1
T-Mobile,Telecommunications Services,25,3,11300.0,16500.0,3100.0,2100.0,3700.0,https://www.t-mobile.com/,Public,8,"Bellevue, WA",2001.0,0.69,0.15,0.16,2.7,4.3,4.1,11,1,1,1,1,1,1,1,1,1,0,1,0,1,6,1,1,1,1,1,1,0,0,0,9,1,1,1,1,0,1,1,1,1,1,5,1,1,1,1,0,1,4,1,0,1,0,0,0,1,0,1,0,0,5,1,1,1,1,1,Telecommunications, WA,1
Citi,Investment Banking & Asset Management,26,3,19600.0,23200.0,7400.0,5100.0,6500.0,https://www.citigroup.com/,Public,8,"New York, NY",1812.0,0.64,0.13,0.23,2.9,3.9,3.9,13,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,1,1,1,1,1,0,1,1,9,1,1,0,1,1,1,1,1,1,1,5,1,1,1,1,0,1,7,1,0,1,1,0,0,1,1,1,1,0,4,1,1,1,0,1,Finance, NY,1
Deloitte,Accounting,25,3,52700.0,144500.0,7100.0,15000.0,12000.0,https://www.deloitte.com/,Private,8,"New York, NY",1850.0,0.71,0.11,0.18,3.0,4.2,3.9,12,1,1,1,1,1,1,1,1,1,0,1,1,1,7,1,1,1,0,1,0,1,1,1,9,1,1,1,1,1,0,1,1,1,1,6,1,1,1,1,1,1,8,1,0,1,1,1,0,1,0,1,1,1,4,1,1,1,0,1,Accounting & Legal, NY,1
KPMG,Accounting,25,3,30600.0,21800.0,9500.0,8400.0,6100.0,https://www.kpmg.com/,Subsidiary or Business Segment,6,"Amstelveen, Netherlands",1987.0,0.71,0.1,0.19,2.9,3.9,3.9,10,1,1,1,1,1,1,1,1,1,0,0,0,1,5,1,1,1,0,1,0,0,0,1,8,1,1,0,1,1,0,1,1,1,1,5,1,0,1,1,1,1,7,1,1,1,0,0,0,1,0,1,1,1,3,1,1,1,0,0,Accounting & Legal, Netherlands,1
IBM,IT Services,26,3,66600.0,66700.0,23500.0,10000.0,19000.0,https://www.ibm.com/,Public,8,"Armonk, NY",1911.0,0.69,0.12,0.19,2.8,3.6,3.9,12,1,1,1,1,1,1,1,1,1,0,1,1,1,9,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,0,1,1,1,1,6,1,1,1,1,1,1,7,1,1,1,0,0,0,1,0,1,1,1,4,1,1,1,0,1,Information Technology, NY,1
PwC,Accounting,25,3,39900.0,37800.0,906.0,11000.0,8000.0,https://www.pwc.com/,Private,7,"New York, NY",1998.0,0.72,0.09,0.19,2.9,4.0,3.9,12,1,1,1,1,1,1,1,1,1,0,1,1,1,6,1,1,1,0,1,0,0,1,1,9,1,1,0,1,1,1,1,1,1,1,6,1,1,1,1,1,1,8,1,1,1,0,1,0,1,0,1,1,1,4,1,1,1,0,1,Accounting & Legal, NY,1
Starbucks,Fast-Food & Quick-Service Restaurants,8,3,34900.0,36500.0,21800.0,6200.0,8800.0,https://www.starbucks.com/,Public,8,"Seattle, WA",1971.0,0.77,0.08,0.15,2.2,4.3,3.9,11,1,1,0,1,1,1,1,1,1,0,1,1,1,7,1,1,1,1,1,1,0,1,0,8,1,1,1,0,1,0,1,1,1,1,6,1,1,1,1,1,1,7,1,1,1,0,1,0,1,0,1,0,1,4,1,1,1,0,1,"Restaurants, Bars & Food Services", WA,1
The Home Depot,Home Centers & Hardware Stores,1,3,27500.0,57600.0,26400.0,5300.0,6100.0,https://www.homedepot.com/,Public,8,"Atlanta, GA",1978.0,0.69,0.13,0.18,2.2,3.6,3.9,13,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,8,1,1,1,1,0,1,1,0,1,0,1,5,1,1,1,1,1,Retail, GA,1
EY,Accounting,1,3,39000.0,43100.0,13400.0,11000.0,7800.0,https://www.ey.com/,Private,8,"London, United Kingdom",1989.0,0.73,0.09,0.18,2.9,4.0,4.0,12,1,1,1,1,1,1,1,1,1,0,1,1,1,6,1,1,1,0,1,0,0,1,1,9,1,1,1,1,1,0,1,1,1,1,5,1,1,1,1,0,1,8,1,0,1,1,1,0,1,0,1,1,1,3,1,1,1,0,0,Accounting & Legal, United Kingdom,1
Comcast,Telecommunications Services,29,3,10900.0,18100.0,2800.0,2500.0,4500.0,https://www.comcastcareers.com/,Public,8,"Philadelphia, PA",1963.0,0.6,0.2,0.19,2.6,4.2,3.9,13,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,0,1,9,1,1,1,1,1,0,1,0,1,1,1,4,1,1,1,0,1,Telecommunications, PA,1
Tata Consultancy Services,Computer Hardware & Software,39,3,64900.00000000001,51500.0,64.0,12000.0,13000.0,https://www.tcs.com/,Public,8,"Mumbai, India",1968.0,0.74,0.08,0.17,2.7,3.2,3.9,11,1,1,0,1,1,1,1,1,1,1,1,0,1,6,1,1,1,0,1,0,1,1,0,3,1,0,0,0,0,0,1,0,1,0,6,1,1,1,1,1,1,5,1,0,1,0,0,0,1,0,1,0,1,3,1,1,1,0,0,Information Technology, India,1
Best Buy,Consumer Electronics & Appliances Stores,6,3,24600.0,33600.0,3000.0,5100.0,5200.0,https://www.bestbuy.com/,Public,8,"Richfield, MN",1966.0,0.69,0.11,0.19,2.4,3.6,3.8,11,1,1,1,1,1,1,1,1,1,0,1,0,1,8,1,1,1,1,1,1,0,1,1,7,1,0,0,1,1,0,1,1,1,1,5,1,1,1,1,0,1,7,1,1,1,0,0,0,1,0,1,1,1,4,1,1,1,0,1,Retail, MN,0
Amazon,Internet,65,3,69100.0,96600.0,41700.0,29000.0,15000.0,https://www.amazon.jobs/,Public,8,"Seattle, WA",1994.0,0.59,0.19,0.22,3.0,3.9,3.9,13,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,0,1,1,1,1,6,1,1,1,1,1,1,10,1,1,1,0,1,1,1,1,1,1,1,5,1,1,1,1,1,Information Technology, WA,1
Cognizant Technology Solutions,Consulting,27,3,49900.0,62400.0,4000.0,8500.0,11000.0,https://www.cognizant.com/,Public,8,"Teaneck, NJ",1994.0,0.73,0.13,0.14,2.7,3.5,3.7,12,1,1,1,1,1,1,1,1,1,1,1,0,1,9,1,1,1,1,1,1,1,1,1,8,1,1,1,1,0,0,1,1,1,1,5,1,1,1,1,0,1,7,1,1,1,0,0,0,1,0,1,1,1,3,1,1,1,0,0,Business Services, NJ,0
Nordstrom,"Department, Clothing, & Shoe Stores",1,3,16400.0,19400.0,1200.0,4700.0,3600.0,https://www.nordstrom.com/,Public,8,"Seattle, WA",1901.0,0.72,0.1,0.18,2.5,3.7,3.7,11,1,1,1,1,1,1,1,1,1,0,1,0,1,7,0,1,1,1,1,1,1,0,1,6,1,1,0,0,1,0,0,1,1,1,5,1,1,1,0,1,1,3,1,0,1,0,1,0,0,0,0,0,0,3,0,1,1,1,0,Retail, WA,0
Target,General Merchandise & Superstores,5,3,44500.0,66700.0,8300.0,12000.0,8800.0,https://www.target.com/,Public,8,"Minneapolis, MN",1962.0,0.67,0.13,0.21,2.6,3.3,3.7,13,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,10,1,1,1,1,1,0,1,1,1,1,1,5,1,1,1,1,1,Retail, MN,0
Boeing,Aerospace & Defense,25,3,10200.0,17200.0,860.0,2200.0,3900.0,https://www.boeing.com/,Public,8,"Chicago, IL",1916.0,0.67,0.11,0.22,2.8,4.2,3.8,13,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,1,1,1,1,0,1,1,1,8,1,1,0,0,1,1,1,1,1,1,5,1,1,1,1,0,1,7,1,0,1,1,1,0,1,0,1,0,1,5,1,1,1,1,1,Aerospace & Defense, IL,0
Oracle,Enterprise Software & Network Solutions,44,3,31900.0,52800.0,15400.0,5800.0,11000.0,https://www.oracle.com/,Public,8,"Redwood City, CA",1977.0,0.67,0.15,0.18,2.9,4.0,3.7,12,1,1,1,1,1,1,1,1,1,0,1,1,1,8,0,1,1,1,1,1,1,1,1,9,1,1,0,1,1,1,1,1,1,1,5,1,1,1,1,0,1,7,1,1,1,1,1,0,1,0,0,0,1,5,1,1,1,1,1,Information Technology, CA,0
Wells Fargo,Banks & Credit Unions,25,3,29600.0,43500.0,4100.0,7400.0,8700.0,https://www.wellsfargojobs.com/,Public,8,"San Francisco, CA",1852.0,0.64,0.14,0.22,2.8,4.0,3.7,13,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,0,1,8,1,1,1,0,1,0,1,0,1,1,1,5,1,1,1,1,1,Finance, CA,0
Kohl's,"Department, Clothing, & Shoe Stores",1,3,12400.0,16200.0,723.0,3900.0,2700.0,https://www.kohlscareers.com/gd,Public,8,"Menomonee Falls, WI",1962.0,0.7,0.12,0.18,2.1,3.2,3.6,11,1,1,1,1,1,1,1,1,1,0,0,1,1,7,0,1,1,1,1,1,0,1,1,7,1,0,0,1,1,1,1,0,1,1,5,1,1,1,1,0,1,8,1,1,1,1,0,0,1,0,1,1,1,3,0,1,1,0,1,Retail, WI,0
AT&T,Telecommunications Services,25,3,27400.0,40800.0,3400.0,4200.0,11000.0,https://www.att.jobs/,Public,8,"Dallas, TX",1983.0,0.66,0.13,0.21,2.7,4.0,3.6,13,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,1,1,1,1,0,1,1,1,9,1,1,1,1,1,0,1,1,1,1,6,1,1,1,1,1,1,8,1,0,1,0,1,0,1,1,1,1,1,5,1,1,1,1,1,Telecommunications, TX,0
UnitedHealth Group,Health Care Services & Hospitals,25,3,12400.0,13900.0,3300.0,3700.0,4500.0,https://www.unitedhealthgroup.com/,Public,8,"Minnetonka, MN",1977.0,0.59,0.21,0.2,2.7,3.2,3.6,13,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,0,1,1,1,1,5,1,1,1,1,0,1,6,1,0,1,1,0,0,1,0,1,0,1,5,1,1,1,1,1,Health Care Services & Hospitals, MN,0
UPS,Logistics & Supply Chain,25,3,18800.0,30800.0,2.0,3100.0,4500.0,https://www.upsjobs.com/,Public,8,"Atlanta, GA",1907.0,0.69,0.11,0.19,1.9,4.0,3.6,13,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,0,1,1,1,1,4,1,1,1,0,0,1,6,1,0,1,0,1,0,1,0,1,0,1,5,1,1,1,1,1,Transportation & Logistics, GA,0
State Farm,Insurance Carriers,28,3,10900.0,13600.0,26000.0,2400.0,3600.0,https://www.statefarm.com/,Private,8,"Bloomington, IL",1922.0,0.71,0.12,0.17,2.6,3.4,3.6,12,1,1,1,1,1,1,1,1,1,0,1,1,1,6,1,1,1,0,1,0,0,1,1,8,1,1,0,1,1,0,1,1,1,1,5,1,1,1,1,0,1,8,1,1,1,0,1,0,1,1,0,1,1,4,1,1,1,0,1,Insurance, IL,0
Aerotek,Staffing & Outsourcing,25,2,5600.0,26000.0,7200.0,1600.0,980.0,https://www.aerotek.com/,Private,1,"Hanover, MD",1983.0,0.55,0.25,0.21,2.6,2.7,3.5,8,1,1,0,1,1,1,0,1,0,0,0,1,1,2,0,1,1,0,0,0,0,0,0,3,1,1,0,0,0,0,0,1,0,0,2,1,0,1,0,0,0,4,1,1,0,0,0,1,0,0,1,0,0,2,1,0,1,0,0,Business Services, MD,0
McDonald's,Fast-Food & Quick-Service Restaurants,1,3,51500.0,28100.0,63500.0,8100.0,7500.0,https://www.mcdonalds.com/,Public,8,"Chicago, IL",1955.0,0.65,0.1,0.25,1.8,2.7,3.6,12,1,1,1,1,0,1,1,1,1,1,1,1,1,8,0,1,1,1,1,1,1,1,1,8,1,0,1,0,1,1,1,1,1,1,6,1,1,1,1,1,1,11,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,"Restaurants, Bars & Food Services", IL,0
Lowe's Home Improvement,Home Centers & Hardware Stores,1,3,24300.0,42700.0,14200.0,4300.0,6600.0,https://jobs.lowes.com/,Public,8,"Mooresville, NC",1921.0,0.67,0.13,0.21,2.4,3.7,3.5,13,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,1,1,1,1,1,0,1,1,7,1,0,0,1,0,1,1,1,1,1,6,1,1,1,1,1,1,9,1,0,1,1,1,1,1,0,1,1,1,4,1,1,1,0,1,Retail, NC,0
Infosys,IT Services,31,3,53700.0,104900.0,2100.0,10000.0,9800.0,https://www.infosys.com/,Public,8,"Bangalore, India",1981.0,0.76,0.09,0.15,2.6,3.1,3.4,12,1,1,1,1,1,1,1,1,1,0,1,1,1,4,0,1,0,0,1,0,0,1,1,8,1,1,1,1,0,1,1,1,0,1,5,1,1,1,0,1,1,7,1,0,1,0,0,1,1,0,1,1,1,4,1,1,1,1,0,Information Technology, India,0
Wipro,IT Services,38,3,31400.0,42500.0,1300.0,5600.0,6600.0,https://www.wipro.com/,Public,7,"Bangalore, India",1945.0,0.7,0.13,0.17,2.8,3.1,3.4,10,1,1,1,1,1,1,1,1,1,0,0,0,1,3,0,1,0,0,1,1,0,0,0,6,1,1,0,0,1,0,1,0,1,1,6,1,1,1,1,1,1,6,1,0,1,0,1,0,1,0,1,0,1,4,1,1,1,1,0,Information Technology, India,0
Macy's,"Department, Clothing, & Shoe Stores",3,3,21800.0,28900.0,35.0,7500.0,5600.0,https://www.macysjobs.com/,Public,8,"New York, NY",1858.0,0.62,0.16,0.22,2.2,2.9,3.4,12,1,1,1,1,1,1,1,1,0,1,1,1,1,6,1,1,1,1,1,0,0,0,1,6,1,0,0,0,1,1,1,0,1,1,5,1,1,1,1,0,1,7,1,0,1,0,1,1,1,0,1,0,1,4,1,1,1,0,1,Retail, NY,0
Enterprise,Car Rental,1,3,16100.000000000002,18300.0,471.0,5700.0,3200.0,https://go.enterpriseholdings.com/,Private,8,"Saint Louis, MO",1957.0,0.61,0.16,0.23,2.8,3.9,3.4,11,1,1,1,1,1,1,1,1,1,0,1,0,1,7,1,1,1,1,1,1,0,1,0,5,1,0,0,0,0,0,1,1,1,1,5,1,1,1,1,0,1,6,1,1,1,0,0,0,1,1,1,0,0,3,1,1,1,0,0,Travel & Tourism, MO,0
Walmart,"Department, Clothing, & Shoe Stores",4,1,65200.0,75900.0,79000.0,10000.0,14000.0,https://www.walmart.ca/,Private,8,"Mississauga, Canada",1994.0,0.63,0.14,0.23,2.2,3.2,3.4,13,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,7,1,1,0,1,0,0,1,1,1,1,5,1,1,1,1,0,1,10,1,1,1,1,1,1,1,0,1,1,1,4,1,1,1,0,1,Retail, Canada,0
Walgreens,Drug & Health Stores,1,3,19500.0,28800.0,23700.0,3300.0,4900.0,https://www.walgreens.com/,Public,8,"Deerfield, IL",1901.0,0.65,0.12,0.22,2.3,3.3,3.2,12,1,1,1,1,1,1,1,1,1,1,1,0,1,7,1,1,1,1,1,1,0,1,0,8,1,1,1,0,0,1,1,1,1,1,5,1,1,1,1,0,1,5,1,0,1,0,0,0,1,0,1,0,1,5,1,1,1,1,1,Retail, IL,0
Kroger,Grocery Stores & Supermarkets,1,3,12400.0,18400.0,4200.0,2100.0,3000.0,https://jobs.kroger.com/,Public,8,"Cincinnati, OH",1952.0,0.66,0.13,0.21,1.8,3.4,3.2,12,1,1,1,1,1,1,1,1,1,1,1,0,1,7,1,1,1,1,0,1,0,1,1,6,1,0,0,0,1,0,1,1,1,1,4,1,1,1,0,0,1,5,1,0,1,1,0,0,1,0,1,0,0,4,1,1,1,0,1,Retail, OH,0
CVS Health,Health Care Services & Hospitals,25,3,21300.0,34400.0,36000.0,3700.0,4900.0,https://jobs.cvshealth.com/,Public,8,"Woonsocket, RI",1963.0,0.61,0.16,0.22,2.2,3.1,3.1,13,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,0,1,0,8,1,1,1,1,0,0,1,1,1,1,6,1,1,1,1,1,1,6,1,0,1,1,0,0,1,0,1,0,1,5,1,1,1,1,1,Health Care Services & Hospitals, RI,0
NVIDIA,Computer Hardware & Software,23,3,3100.0,21200.0,1600.0,1400.0,823.0,https://www.nvidia.com/,Public,7,"Santa Clara, CA",1993.0,0.6,0.17,0.24,3.2,4.0,4.8,9,1,1,1,1,1,1,1,1,0,0,0,0,1,4,0,1,0,1,0,1,0,0,1,4,1,1,0,0,0,0,1,0,1,0,3,1,1,1,0,0,0,6,1,1,0,0,1,1,1,0,1,0,0,2,0,0,1,0,1,Information Technology, CA,2
HubSpot,Computer Hardware & Software,11,1,1500.0,1500.0,288.0,1300.0,407.0,https://www.hubspot.com/,Public,5,"Cambridge, MA",2006.0,0.6,0.26,0.14,3.2,4.6,4.7,3,1,1,0,1,0,0,0,0,0,0,0,0,0,4,0,1,1,1,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,4,1,1,1,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,3,0,1,1,0,1,Information Technology, MA,2
DocuSign,Computer Hardware & Software,17,2,1500.0,1400.0,512.0,524.0,504.0,https://www.docusign.com/,Public,5,"San Francisco, CA",2003.0,0.49,0.39,0.12,2.8,4.3,4.6,7,1,1,1,1,1,1,1,0,0,0,0,0,0,5,0,1,1,1,0,1,0,0,1,2,1,1,0,0,0,0,0,0,0,0,5,1,1,1,1,0,1,4,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,Information Technology, CA,2
SAP,Computer Hardware & Software,27,3,18800.0,9600.0,2100.0,2800.0,5200.0,https://www.sap.com/,Public,8,"Walldorf, Germany",1972.0,0.72,0.14,0.14,2.9,4.3,4.6,11,1,1,1,1,1,1,1,1,1,0,1,0,1,8,0,1,1,1,1,1,1,1,1,7,1,1,0,1,1,0,1,0,1,1,5,1,1,1,1,0,1,8,1,1,1,1,1,0,1,0,1,1,0,4,1,1,1,0,1,Information Technology, Germany,2
Carnegie Mellon University,Colleges & Universities,5,1,1600.0,2900.0,128.0,151.0,272.0,https://www.cmu.edu/,Education,5,"Pittsburgh, PA",1900.0,0.73,0.06,0.21,2.5,4.0,4.6,4,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4,1,1,0,0,0,0,1,0,1,0,3,1,1,1,0,0,0,4,1,1,0,1,0,0,0,0,1,0,0,4,1,1,1,0,1,Education, PA,2
Bain & Company,Consulting,21,3,3900.0,2900.0,119.0,1700.0,562.0,https://www.bain.com/,Private,6,"Boston, MA",1973.0,0.74,0.08,0.18,3.6,4.8,4.6,9,1,1,1,0,1,1,0,1,1,0,0,1,1,5,0,1,1,1,0,0,1,1,0,2,1,1,0,0,0,0,0,0,0,0,5,1,1,1,1,1,0,5,1,1,1,0,0,0,1,0,0,0,1,3,1,1,0,0,1,Business Services, MA,2
Brigham Young University (BYU),Colleges & Universities,3,1,2800.0,3000.0,44.0,265.0,293.0,https://www.byu.edu/,Education,4,"Provo, UT",1875.0,0.89,0.01,0.1,2.1,3.5,4.6,4,1,0,0,0,0,0,1,0,0,0,1,0,1,2,1,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,1,3,1,1,1,0,0,0,6,1,1,0,1,0,0,0,0,1,1,1,4,1,1,1,1,0,Education, UT,2
St. Jude Children's Research Hospital,Health Care Services & Hospitals,1,2,854.0,1900.0,106.0,155.0,281.0,https://www.stjude.org/,Nonprofit Organization,1,"Memphis, TN",1962.0,0.84,0.09,0.07,3.0,4.6,4.6,7,1,1,1,1,1,1,1,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,1,0,3,1,1,1,0,0,0,3,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,Health Care Services & Hospitals, TN,2
Power Home Remodeling,Construction,34,1,2900.0,1500.0,756.0,493.0,1000.0,https://www.powerhrg.com/,Private,4,"Chester, PA",1992.0,0.64,0.19,0.17,2.4,4.4,4.6,11,1,1,1,1,1,1,1,1,1,0,1,0,1,5,0,1,1,0,1,0,1,1,0,7,1,0,1,0,1,0,1,1,1,1,5,1,1,1,1,0,1,5,1,0,1,1,1,0,0,0,1,0,0,3,1,1,1,0,0,Construction, PA,2
Princeton University,Colleges & Universities,1,2,880.0,2400.0,422.0,108.0,184.0,https://www.princeton.edu/,Education,1,"Princeton, NJ",1746.0,0.72,0.1,0.19,2.6,4.3,4.6,12,1,1,1,1,1,1,1,1,0,1,1,1,1,4,1,1,1,0,0,0,0,0,1,6,1,1,0,1,0,0,1,0,1,1,5,1,1,1,1,0,1,4,0,0,1,1,0,0,1,0,1,0,0,3,0,1,1,0,1,Education, NJ,2
