name,industry,office,size,review_counts,salaries_count,jobs_count,interviews_count,benefits_count,website,company_type,revenue,head_quarter,founded,interview_possitive,interview_negative,interview_neutral,interview_difficulty,benefits_score,rating,total_insurance_health_wellness_benefits,health_insurance,dental_insurance,FSA,vision insurance,HSA,life_insurance,supplemental_life_insurance,disability_insurance,occupational_accident_insurance,health_care_on_site,mental_health_care,retiree_health_and_medical,accidental_death_and_dismemberment_insurance,total_financial_retirement_benefits,pension_plan,plan_401K,retirement_plan,employee_stock_purcase_plan,performance_bonus,stock_options,equity_incentive_plan,supplemental_workers_compensation,charity_gift_matching,total_family_parenting_benefits,maternity_paternity_leave,work_from_home,fertility_assistance,dependent_care,adoption_assistance,childcare,flexible_hour,military_leave,family_medical_leave,unpaid_extended_leave,total_vacation_time_off_benefits,vacation_paid_time_off,sick_days,paid_holidays,volunteer_time_off,sabbatical,bereavement_leave,total_perk_discounts_benefits,employee_discount,free_lunch_or_snacks,employee_assistance_program,gym_membership,commuter_checks_and_assistance,pet_friendly_worksplace,mobile_phone_discount,company_car,company_social_events,travel_concierge,legal_assistance,total_professional_support_benefits,diversity_program,job_training,professional_development,apprenticeship,tuition_assistance,category,state,company_rank
Fairmont Hotels & Resorts,"Hotels, Motels, & Resorts",27,3,1200.0,1000.0,840.0,210.0,330.0,https://www.fairmont.com/,Others,5,"Toronto, Canada",1907.0,0.72,0.14,0.15,2.8,3.9,4.1,9,1,1,0,1,0,1,1,1,1,0,1,0,1,2,0,1,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,1,4,1,1,1,0,0,1,4,1,1,1,0,0,0,0,0,1,0,0,2,0,1,1,0,0,Travel & Tourism, Canada,1
Castle Group,Real Estate,10,1,80.0,291.0,153.0,15.0,36.0,https://www.castlegroup.com/,Private,2,"Plantation, FL",1952.0,0.47,0.27,0.27,2.6,3.5,4.1,3,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Real Estate, FL,1
Intralox,Industrial Manufacturing,3,1,136.0,208.0,196.0,33.0,49.0,https://www.intralox.com/,Private,3,"Harahan, LA",1971.0,0.73,0.18,0.09,2.8,4.6,4.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Manufacturing, LA,1
Autobell Car Wash,Other Retail Stores,1,1,254.0,209.0,170.0,21.0,41.0,https://www.autobell.com/,Private,2,"Charlotte, NC",1969.0,0.75,0.25,0.26,1.3,3.6,4.1,4,1,1,1,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,3,0,1,1,0,1,Retail, NC,1
Yardi Systems,Computer Hardware & Software,15,2,1400.0,1200.0,79.0,422.0,468.0,https://www.yardi.com/,Private,4,"Santa Barbara, CA",1982.0,0.62,0.18,0.2,2.9,4.4,4.1,5,1,1,1,1,0,1,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,4,1,1,1,0,0,1,3,1,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,1,Information Technology, CA,1
Florida Atlantic University,Colleges & Universities,8,1,452.0,715.0,24.0,47.0,108.0,https://www.fau.edu/,Education,3,"Boca Raton, FL",1960.0,0.63,0.16,0.21,2.4,3.5,4.2,7,1,0,0,1,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,1,3,0,1,0,0,1,1,3,0,0,0,0,0,0,1,0,1,0,1,3,0,1,1,0,1,Education, FL,2
Cherry Bekaert,Accounting,24,1,228.0,510.0,208.0,58.0,42.0,https://www.cbh.com/,Private,3,"Richmond, VA",1947.0,0.81,0.05,0.14,2.6,3.1,4.1,9,1,1,1,1,1,1,1,1,0,0,0,0,1,3,0,1,1,0,1,0,0,0,0,7,1,1,0,0,1,0,1,1,1,1,4,1,1,1,0,0,1,8,1,1,1,1,1,0,1,0,1,1,0,4,1,1,1,0,1,Accounting & Legal, VA,1
Spirent Communications,Telecommunications Services,26,1,323.0,794.0,50.0,58.0,130.0,https://www.spirent.com/,Public,4,"Crawley, United Kingdom",1936.0,0.49,0.27,0.24,3.0,3.8,4.2,8,1,1,1,1,0,1,1,1,0,0,0,0,1,3,0,1,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,1,1,0,4,1,0,1,1,0,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Telecommunications, United Kingdom,2
US Department of Energy,Federal Agencies,13,3,322.0,848.0,622.0,56.0,61.0,https://www.energy.gov/,Government,1,"Washington, DC",1977.0,0.62,0.09,0.29,2.6,4.3,4.1,3,1,1,0,0,0,1,0,0,0,0,0,0,0,3,0,1,1,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,Goverment, DC,1
Con Edison,Utilities,10,3,804.0,1100.0,42.0,287.0,269.0,https://www.conedison.com/,Public,8,"New York, NY",1997.0,0.72,0.11,0.18,2.8,3.9,4.1,12,1,1,1,1,1,1,0,1,1,1,1,1,1,7,1,1,1,1,1,1,0,1,0,6,1,1,0,0,1,0,0,1,1,1,4,1,1,1,0,0,1,6,1,0,1,1,1,0,1,0,1,0,0,4,1,1,1,0,1,"Oil, Gas, Energy & Utilities", NY,1
CCC Information Services,Enterprise Software & Network Solutions,6,1,296.0,592.0,71.0,70.0,64.0,https://www.cccis.com/,Private,4,"Chicago, IL",1980.0,0.56,0.31,0.13,2.7,3.9,4.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Information Technology, IL,2
DRW,Investment Banking & Asset Management,10,1,138.0,234.0,25.0,187.0,26.0,https://www.drw.com/,Private,1,"Chicago, IL",1992.0,0.42,0.19,0.4,3.3,4.4,4.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Finance, IL,2
Central Market,Grocery Stores & Supermarkets,2,1,313.0,463.0,27.0,99.0,88.0,https://www.centralmarket.com/,Private,1,"Dallas, TX",1994.0,0.62,0.21,0.16,2.6,4.2,4.1,8,1,1,1,1,1,1,0,0,0,0,1,0,1,2,0,1,1,0,0,0,0,0,0,4,1,0,0,0,0,0,1,0,1,1,5,1,1,1,0,1,1,2,1,0,0,0,0,0,0,0,1,0,0,3,1,1,1,0,0,Retail, TX,1
American University,Colleges & Universities,2,1,657.0,906.0,50.0,83.0,169.0,https://www.american.edu/,Education,4,"Washington, DC",1893.0,0.74,0.05,0.21,2.6,4.0,4.1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,Education, DC,1
West Virginia University,Colleges & Universities,2,2,686.0,1400.0,337.0,86.0,172.0,https://www.wvu.edu/,Education,4,"Morgantown, WV",1867.0,0.8,0.05,0.15,2.4,3.7,4.2,11,1,1,1,1,1,0,1,1,1,1,1,1,0,3,1,1,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,1,6,1,1,1,1,1,1,5,1,0,0,1,0,1,1,0,1,0,0,3,0,1,1,0,1,Education, WV,2
